date,open,high,low,close,volume,market cap
2017-10-01,0.021678,0.032226,0.017354,0.024969,50068700,-
2017-10-02,0.024607,0.030088,0.019969,0.025932,57641300,-
2017-10-03,0.025757,0.027425,0.020690,0.020816,16997800,624651000
2017-10-04,0.020864,0.022806,0.020864,0.021931,9000050,540946000
2017-10-05,0.021951,0.022154,0.020859,0.021489,5562510,569134000
2017-10-06,0.021359,0.021542,0.018360,0.018539,7780710,553774000
2017-10-07,0.018414,0.021050,0.017620,0.020941,7411240,477417000
2017-10-08,0.020929,0.023598,0.020147,0.020477,7727460,542638000
2017-10-09,0.020344,0.022807,0.020342,0.022114,4663310,527469000
2017-10-10,0.022112,0.022446,0.021279,0.021531,2725600,573302000
2017-10-11,0.021480,0.022576,0.020976,0.022520,3606720,556914000
2017-10-12,0.022538,0.026763,0.021825,0.026252,8680640,584358000
2017-10-13,0.026061,0.033816,0.025195,0.033641,15613600,675684000
2017-10-14,0.033876,0.038268,0.029255,0.032465,27853200,878314000
2017-10-15,0.032874,0.033641,0.028694,0.030049,7104990,852317000
2017-10-16,0.029939,0.030749,0.028577,0.028948,6196030,776227000
2017-10-17,0.028953,0.029628,0.025482,0.027217,7039900,750659000
2017-10-18,0.027219,0.027360,0.024637,0.026691,2336180,705718000
2017-10-19,0.026704,0.027112,0.025772,0.027032,2897720,692370000
2017-10-20,0.026982,0.030855,0.026612,0.030630,8716410,699574000
2017-10-21,0.030805,0.030805,0.027977,0.028436,5344520,798697000
2017-10-22,0.028565,0.028744,0.027093,0.027729,2930210,740608000
2017-10-23,0.027684,0.028051,0.024345,0.025454,3517050,717768000
2017-10-24,0.025339,0.028956,0.023766,0.027193,7589560,656966000
2017-10-25,0.027038,0.027846,0.026107,0.027527,2561430,701019000
2017-10-26,0.027409,0.027560,0.026478,0.027132,2437710,710649000
2017-10-27,0.027138,0.027463,0.025674,0.026382,2511440,703611000
2017-10-28,0.026339,0.026853,0.025593,0.025866,1739460,682882000
2017-10-29,0.025831,0.029837,0.025626,0.028607,4746180,669716000
2017-10-30,0.028318,0.028874,0.027586,0.028583,3781270,734193000
2017-10-31,0.028547,0.030714,0.028075,0.030437,7304450,740140000
2017-11-01,0.029126,0.029219,0.022986,0.022986,9382780,755165000
2017-11-02,0.023079,0.024977,0.018210,0.021306,6165050,598375000
2017-11-03,0.021418,0.023213,0.019827,0.022628,2836080,555312000
2017-11-04,0.022641,0.023849,0.021970,0.022022,2626920,587012000
2017-11-05,0.022054,0.023006,0.020635,0.020635,2396230,571799000
2017-11-06,0.020977,0.023609,0.020534,0.021881,4591160,543879000
2017-11-07,0.021846,0.023347,0.021414,0.022195,2539540,566399000
2017-11-08,0.021912,0.026393,0.021660,0.025186,6367000,568104000
2017-11-09,0.025160,0.035060,0.025006,0.032053,18716200,652327000
2017-11-10,0.032219,0.033348,0.026451,0.027119,6766780,835352000
2017-11-11,0.026891,0.029659,0.025684,0.027437,5532220,697209000
2017-11-12,0.027481,0.027952,0.022591,0.023977,7280250,712489000
2017-11-13,0.024364,0.026300,0.023495,0.025808,4419440,631690000
2017-11-14,0.025797,0.026788,0.025342,0.026230,3033290,668839000
2017-11-15,0.026116,0.027773,0.025261,0.026445,6858800,677107000
2017-11-16,0.026583,0.028170,0.025654,0.027580,4888130,689223000
2017-11-17,0.027143,0.027436,0.025184,0.025773,3578870,703728000
2017-11-18,0.025597,0.027122,0.024748,0.026369,2930550,663650000
2017-11-19,0.026242,0.028478,0.025581,0.028084,4725050,680390000
2017-11-20,0.028152,0.032300,0.027612,0.029581,16172400,729895000
2017-11-21,0.029587,0.029709,0.027404,0.028331,5836790,767098000
2017-11-22,0.028399,0.029035,0.027891,0.028549,4938480,736311000
2017-11-23,0.028540,0.028678,0.027444,0.027444,5132300,739960000
2017-11-24,0.027406,0.028597,0.026963,0.028382,5502350,710569000
2017-11-25,0.028324,0.030447,0.027747,0.030447,6156460,734370000
2017-11-26,0.030437,0.039855,0.030118,0.036332,30527100,789144000
2017-11-27,0.036618,0.057127,0.036618,0.050593,77777300,949409000
